,event,event_label,span_text,label,element,role_label,role,institution,institution_label,date,type_labels,person,family_members,family_name,given_name,person_id,related_to,name
0,https://g17.dhi-roma.it/resources/event_20119,APOSTOLIC PROVISION 20119,Maurus de Pinto,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_244494,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_373,Melphitensis,1622-12-23T00:00:00Z,"act of grace,apostolic provision,papal grace,Resignation,Public resignation,Biographical reasons,Heir,Undefined administrative office,Administrative office",,,,,https://g17.dhi-roma.it/raw/element_244494,[],Maurus de Pinto
1,https://g17.dhi-roma.it/resources/event_1427,APOSTOLIC PROVISION 1427,Polidorus Foschus,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_18007,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_482,Reatina,1678-07-03T00:00:00Z,"act of grace,apostolic provision,papal grace,Assistance by a coadjutor,Assignment,Resignation,Public resignation,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Prebendary,church,Church institutions,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",,,,,https://g17.dhi-roma.it/raw/element_18007,[],Polidorus Foschus
2,https://g17.dhi-roma.it/resources/event_1797,APOSTOLIC PROVISION 1797,Martinus Carillo,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_17588,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_143,Calaguritana,1622-09-09T00:00:00Z,"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Holder of prestimony,Undefined administrative office,Administrative office,Holder of an undefined benefice,Holder of a benefice",,,,,https://g17.dhi-roma.it/raw/element_17588,[],Martinus Carillo
3,https://g17.dhi-roma.it/resources/event_25144,APOSTOLIC PROVISION 25144,Ioannes Carolus Schad in Mitthwibrach,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_291730,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_268,Frisingensis,1622-12-17T00:00:00Z,"act of grace,apostolic provision,papal grace,Undetermined reason,Unknown reason,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",,,,,https://g17.dhi-roma.it/raw/element_291730,[],Ioannes Carolus Schad in Mitthwibrach
4,https://g17.dhi-roma.it/resources/event_17642,APOSTOLIC PROVISION 17642,Gratianus Pommiers,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_220680,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_589,Turonensis,1678-07-22T00:00:00Z,"incapacity,Biographical reasons,act of grace,apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church",,,,,https://g17.dhi-roma.it/raw/element_220680,[],Gratianus Pommiers
5,https://g17.dhi-roma.it/resources/event_16461,APOSTOLIC PROVISION 16461,Unknown former possessor,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_206444,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_139,Cadurcensis,1622-06-25T00:00:00Z,"Renewed provision,act of grace,apostolic provision,papal grace,Vacant for an indefinite period,Administrative reason,Liturgical office,rectorship in a parish church,Rectorship",,,,,https://g17.dhi-roma.it/raw/element_206444,[],Unknown former possessor
6,https://g17.dhi-roma.it/resources/event_19945,APOSTOLIC PROVISION 19945,Thomas Coronel,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_242348,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_529,Seguntin,1622-11-16T00:00:00Z,"Renewed provision,act of grace,apostolic provision,papal grace,Vacant for an indefinite period,Administrative reason,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",,,,,https://g17.dhi-roma.it/raw/element_242348,[],Thomas Coronel
7,https://g17.dhi-roma.it/resources/event_12453,APOSTOLIC PROVISION 12453,Henrici du Mesnil et Jacobi,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_171513,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,1678-04-15T00:00:00Z,"act of grace,apostolic provision,papal grace,Undetermined reason,Unknown reason,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",,,,,https://g17.dhi-roma.it/raw/element_171513,[],Henrici du Mesnil et Jacobi
8,https://g17.dhi-roma.it/resources/event_25330,APOSTOLIC PROVISION 25330,Christophorus Montero,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_293021,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_569,Toletana,1622-11-23T00:00:00Z,"act of grace,apostolic provision,papal grace,Resignation,Public resignation,Biographical reasons,Church institutions,Collegiate church,Administrative office,Cantorate,Defined administrative office",,,,,https://g17.dhi-roma.it/raw/element_293021,[],Christophorus Montero
9,https://g17.dhi-roma.it/resources/event_20781,APOSTOLIC PROVISION 20781,Joannes Hieronymus de Seroets,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_250536,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,1678-03-10T00:00:00Z,"act of grace,apostolic provision,papal grace,Resignation,Public resignation,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church",,,,,https://g17.dhi-roma.it/raw/element_250536,[],Joannes Hieronymus de Seroets
