,event,event_label,span_text,label,element,role_label,role,institution,institution_label,date,type_labels,person,family_members,family_name,given_name,person_id,related_to,name
0,https://g17.dhi-roma.it/resources/event_14386,APOSTOLIC PROVISION 14386,Unknown former possessor,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_191303,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_45,Ambianensis,1678-06-10T00:00:00Z,"apostolic provision,papal grace,Monastery,Monastic institutions,Order of Saint Benedict,Orders of the monastic tradition",,,,,,[],Unknown former possessor
1,https://g17.dhi-roma.it/resources/event_3462,APOSTOLIC PROVISION 3462,Antonius Balma,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_62974,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_551,Taranthasiensis,1678-01-25T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Rectorship,Liturgical office",,,,,,[],Antonius Balma
2,https://g17.dhi-roma.it/resources/event_4052,APOSTOLIC PROVISION 4052,Antonius de Rabana,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_71408,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_246,Elnensis,1622-06-13T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church",,,,,,[],Antonius de Rabana
3,https://g17.dhi-roma.it/resources/event_6932,APOSTOLIC PROVISION 6932,Petrus Paulus Xara,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_105638,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_723,Melevitana,,"apostolic provision,papal grace,death of previous holder,Personal reason,Heir,Undefined administrative office,Administrative office",,,,,,[],Petrus Paulus Xara
4,https://g17.dhi-roma.it/resources/event_5805,APOSTOLIC PROVISION 5805,Ovidi Castellani,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_92698,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_292,Hieracensis,1622-05-30T00:00:00Z,"deceased in Rome,apostolic provision,papal grace,death of previous holder,Personal reason",,,,,,[],Ovidi Castellani
5,https://g17.dhi-roma.it/resources/event_7911,APOSTOLIC PROVISION 7911,Ludovici Iannier,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_114397,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_620,Venetensis,1622-09-05T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Rectorship,Liturgical office",,,,,,[],Ludovici Iannier
6,https://g17.dhi-roma.it/resources/event_400,APOSTOLIC PROVISION 400,Vincentius de Bardis,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_27814,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_92,Aversana,1622-10-24T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Without care of souls",,,,,,[],Vincentius de Bardis
7,https://g17.dhi-roma.it/resources/event_8936,APOSTOLIC PROVISION 8936,Philippus predictus,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_124602,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_206,Condomiensis,1677-12-12T00:00:00Z,"apostolic provision,papal grace,Reservation of a pension,Rectorship,Liturgical office",,,,,,[],Philippus predictus
8,https://g17.dhi-roma.it/resources/event_10935,APOSTOLIC PROVISION 10935,Anderas Le Masson,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_155485,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,,"apostolic provision,papal grace,death of previous holder,Personal reason,Pastor,Liturgical office,Parish Church,Church institutions",,,,,,[],Anderas Le Masson
9,https://g17.dhi-roma.it/resources/event_7586,APOSTOLIC PROVISION 7586,Antonius Sbert,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_34168,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_375,Messanensis,1622-12-01T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Heir,Undefined administrative office,Administrative office",,,,,,[],Antonius Sbert
