,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels,time_delta,geometry_15,geometry_19,coords_15,coords_19,distance,distance_log,event_lead_speed
4286,https://g17.dhi-roma.it/resources/event_4759,APOSTOLIC PROVISION 4759,1622-05-25,1622-05-25,https://g17.dhi-roma.it/resources/institution_125,Bracharensis,https://g17.dhi-roma.it/resources/institution_873,Braga,POINT (-8.4166666666667 41.533333333333),https://g17.dhi-roma.it/resources/place_120,Braga,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (-8.4166666666667 41.533333333333),POINT (12.498611111111 41.8975),"(41.533333333333, -8.4166666666667)","(41.8975, 12.498611111111)",1736.6991872254227,7.459741571753548,18.649353929383867
2164,https://g17.dhi-roma.it/resources/event_4635,APOSTOLIC PROVISION 4635,1623-02-03,1623-02-03,https://g17.dhi-roma.it/resources/institution_305,Ispalensis,https://g17.dhi-roma.it/resources/institution_872,Seville,POINT (-5.9833333333333 37.383333333333),https://g17.dhi-roma.it/resources/place_296,Seville,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice",0.4,POINT (-5.9833333333333 37.383333333333),POINT (12.482777777778 41.893055555556),"(37.383333333333, -5.9833333333333)","(41.893055555556, 12.482777777778)",1658.505644088866,7.413672261509967,18.534180653774914
939,https://g17.dhi-roma.it/resources/event_7433,APOSTOLIC PROVISION 7433,1678-01-25,1678-01-25,https://g17.dhi-roma.it/resources/institution_78,Astoricensis,https://g17.dhi-roma.it/resources/institution_887,Oviedo,POINT (-6.0569444444444 42.4575),https://g17.dhi-roma.it/resources/place_74,Astorga,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons",0.4,POINT (-6.0569444444444 42.4575),POINT (12.482777777778 41.893055555556),"(42.4575, -6.0569444444444)","(41.893055555556, 12.482777777778)",1530.043080978699,7.3330511714924835,18.332627928731206
4248,https://g17.dhi-roma.it/resources/event_4636,APOSTOLIC PROVISION 4636,1623-02-03,1623-02-03,https://g17.dhi-roma.it/resources/institution_503,Salamantina,https://g17.dhi-roma.it/resources/institution_874,Santiago,POINT (-5.664166666666667 40.965),https://g17.dhi-roma.it/resources/place_493,Salamanca,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice",0.4,POINT (-5.664166666666667 40.965),POINT (12.482777777778 41.893055555556),"(40.965, -5.664166666666667)","(41.893055555556, 12.482777777778)",1517.512231497424,7.324827583196012,18.31206895799003
275,https://g17.dhi-roma.it/resources/event_4636,APOSTOLIC PROVISION 4636,1623-02-03,1623-02-03,https://g17.dhi-roma.it/resources/institution_529,Seguntin,https://g17.dhi-roma.it/resources/institution_871,Toledo,POINT (-2.6391666666667 41.069166666667),https://g17.dhi-roma.it/resources/place_517,Sigüenza,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice",0.4,POINT (-2.6391666666667 41.069166666667),POINT (12.482777777778 41.893055555556),"(41.069166666667, -2.6391666666667)","(41.893055555556, 12.482777777778)",1264.6554463020432,7.142554989596171,17.856387473990427
4234,https://g17.dhi-roma.it/resources/event_6911,APOSTOLIC PROVISION 6911,1678-02-16,1678-02-16,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,https://g17.dhi-roma.it/resources/institution_1006,Mechelen-Bruxelles,POINT (5.570555555555556 50.639722222222225),https://g17.dhi-roma.it/resources/place_319,Liège,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Church institutions,Collegiate church,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (5.570555555555556 50.639722222222225),POINT (12.482777777778 41.893055555556),"(50.639722222222225, 5.570555555555556)","(41.893055555556, 12.482777777778)",1107.5510933107307,7.009906634770036,17.52476658692509
831,https://g17.dhi-roma.it/resources/event_6962,APOSTOLIC PROVISION 6962,1678-02-16,1678-02-16,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,https://g17.dhi-roma.it/resources/institution_1006,Mechelen-Bruxelles,POINT (5.570555555555556 50.639722222222225),https://g17.dhi-roma.it/resources/place_319,Liège,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (5.570555555555556 50.639722222222225),POINT (12.482777777778 41.893055555556),"(50.639722222222225, 5.570555555555556)","(41.893055555556, 12.482777777778)",1107.5510933107307,7.009906634770036,17.52476658692509
3932,https://g17.dhi-roma.it/resources/event_3787,APOSTOLIC PROVISION 3787,1677-10-27,1677-10-27,https://g17.dhi-roma.it/resources/institution_629,Vicensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (2.254575 41.930379),https://g17.dhi-roma.it/resources/place_611,Vic,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (2.254575 41.930379),POINT (12.498611111111 41.8975),"(41.930379, 2.254575)","(41.8975, 12.498611111111)",849.3706940118811,6.744495715296538,16.861239288241343
2253,https://g17.dhi-roma.it/resources/event_7441,APOSTOLIC PROVISION 7441,1678-07-07,1678-07-07,https://g17.dhi-roma.it/resources/institution_723,Melevitana,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (6.2622222222222 36.448055555556),https://g17.dhi-roma.it/resources/place_1018,Mila,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (6.2622222222222 36.448055555556),POINT (12.498611111111 41.8975),"(36.448055555556, 6.2622222222222)","(41.8975, 12.498611111111)",809.7397793625584,6.696712936005197,16.74178234001299
3912,https://g17.dhi-roma.it/resources/event_3795,APOSTOLIC PROVISION 3795,1677-10-27,1677-10-27,https://g17.dhi-roma.it/resources/institution_277,Gerundensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (2.8166666666667 41.983333333333),https://g17.dhi-roma.it/resources/place_268,Girona,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (2.8166666666667 41.983333333333),POINT (12.498611111111 41.8975),"(41.983333333333, 2.8166666666667)","(41.8975, 12.498611111111)",802.5333872320286,6.687773458166197,16.719433645415492
